timestamp,price
2026-06-23 19:10:53,41.98
2026-06-23 21:16:13,41.85
2026-06-23 22:44:17,41.98
2026-06-23 23:50:57,42.16
2026-06-24 02:34:35,42.01
2026-06-24 06:39:24,42.10
2026-06-24 10:15:46,41.99
2026-06-24 12:32:26,42.12
2026-06-24 15:30:26,41.27
2026-06-24 17:49:02,39.39
2026-06-24 19:28:24,39.95
2026-06-24 21:10:34,40.66
2026-06-24 22:44:46,40.94
2026-06-25 00:01:30,41.10
2026-06-25 04:41:12,41.28
2026-06-25 08:18:23,41.62
2026-06-25 11:12:41,41.39
2026-06-25 13:34:10,41.32
2026-06-25 16:18:19,40.58
2026-06-25 18:30:53,40.71
2026-06-25 20:52:52,40.73
